spec,family,Sharpe_gross,Sharpe_net,CAGR_net,MaxDD_net,Vol_net,Turnover
single_12m,single,0.8827592859677552,0.8996663845240507,0.10713831923169992,-0.22758800390584322,0.12179235132364682,0.16545462786729226
sign_eq_6_12,sign_equal,0.8506861307242479,0.8619891804421493,0.09557311097379895,-0.2134892425474868,0.11371555214861044,0.21623918447833987
sign_w_slower,sign_weighted,0.8470846779464464,0.8507960192638588,0.08785559697207024,-0.16216636082653335,0.10582773278766405,0.26137773929821173
sign_w_no1_tilt12,sign_weighted,0.8266537262651646,0.8340641399393209,0.08813931631800243,-0.15641139697690387,0.10862927104592085,0.24473786496269523
raw_eq_1_3_6_12,raw_then_sign,0.8137355298365612,0.820265658224356,0.09773799753997192,-0.27257982678819703,0.12331201204177045,0.2612174927733901
sign_w_slow,sign_weighted,0.8243222318479819,0.8197496720254669,0.08121661102092892,-0.1385286112789481,0.10180274673549577,0.30242386519811554
raw_w_slow,raw_then_sign,0.804677658607005,0.8136645471071132,0.09695630079887718,-0.2342908080119187,0.1234614769744008,0.21208990492884836
raw_eq_6_12,raw_then_sign,0.7843804921190597,0.7934442428708697,0.09443458572690666,-0.2312124577581477,0.12373410598200826,0.19877085735738623
raw_eq_3_6_12,raw_then_sign,0.7617668839358461,0.769906916059715,0.09167274106863799,-0.27257982678819703,0.12430806922791372,0.20863379981628602
sign_eq_3_6_12,sign_equal,0.7589132796140374,0.7600777504821528,0.07879368295879408,-0.20922317513177946,0.10763146160680571,0.2806651708226147
sign_eq_1_3_6_12,sign_equal,0.7695561598004164,0.7427626856192429,0.0684288434061795,-0.17635324650649997,0.09537881265083445,0.3991009250161806
maj_1_3_6_12,majority,0.7464970268402286,0.7363219405648256,0.0791238426178067,-0.2182770754083978,0.11220919491951802,0.4091131072634711
sign_eq_3_6_12_thr_0.5,sign_equal,0.7653518067538291,0.7349586698289412,0.07153670886882946,-0.18233573294895733,0.10116338021739202,0.17908989391401453
maj_3_6_12_min2,majority,0.7653534452552877,0.7348802945768801,0.0715277613783647,-0.18233573294895733,0.10116261995285226,0.17964824120603018
sign_eq_3_12,sign_equal,0.733102734075229,0.7304748074831019,0.07596939717385309,-0.24494681753153502,0.10852957675611768,0.3010513969648381
sign_eq_thr_0.5,sign_equal,0.7668744941109277,0.7190176081770352,0.06397048964029595,-0.17635324650649975,0.09227354602771601,0.25586264656616414
maj_3_6_12,majority,0.6899307022805917,0.6914589852861948,0.08157491415652052,-0.31308389036220385,0.12499119728516205,0.28145837580898186
maj_1_3_6_12_min3,majority,0.7248360606678034,0.6731206302521127,0.0555574534747052,-0.20335111568649022,0.0858641617920126,0.24832495812395314
sign_eq_thr_0.75,sign_equal,0.7237614838041849,0.6721130245777694,0.05545899828668244,-0.20335111568649022,0.08585189403450662,0.2479061976549414
single_6m,single,0.6552928102602182,0.6209134719416685,0.0722647742051179,-0.31308389036220385,0.12521274201582924,0.2896071372957293
sign_w_fast,sign_weighted,0.6578316645344164,0.6073493996131344,0.054858487456936667,-0.23514778511466372,0.09551306075291416,0.5167034539054011
sign_eq_3_6,sign_equal,0.5880162185886103,0.5420411896170202,0.05690650927579721,-0.31308389036220374,0.11428172513426983,0.35374179024127633
sign_eq_1_3_6,sign_equal,0.5972038799979981,0.5358599090873443,0.04910945067087602,-0.25109500700163845,0.09857091281376903,0.49535260845127244
single_3m,single,0.45022345225943233,0.37757724044363666,0.0399515681449194,-0.5267096350092144,0.12421471797348241,0.4514195044107816
single_1m,single,0.33996991263197673,0.2221491145765362,0.020153925635048475,-0.43493058196594025,0.12446239925638258,0.8906649549374537
