spec,family,Sharpe_gross,Sharpe_net,CAGR_net,MaxDD_net,Vol_net,Turnover
single_12m,single,0.7103899661840662,0.7110243445626303,0.09917371260880281,-0.36713120349546335,0.1491772342728619,0.08290155440414508
sign_eq_6_12,sign_equal,0.6752198638998755,0.6694104702896043,0.0862358078243699,-0.4034392148692624,0.13828977871243747,0.15284974093264247
sign_w_slower,sign_weighted,0.6729939386024284,0.6621139174675794,0.07857875132830516,-0.34485905903039493,0.1267289648243549,0.20181347150259069
sign_w_no1_tilt12,sign_weighted,0.6631300465072394,0.6542206193548628,0.0795185813342083,-0.34348180406712103,0.1302967748895439,0.18393782383419688
sign_w_slow,sign_weighted,0.6472490359189672,0.6310505421803982,0.07114754940009682,-0.3247366115700253,0.1207685953010507,0.24922279792746116
raw_eq_1_3_6_12,raw_then_sign,0.633569416911755,0.6238556042895788,0.08541528667734477,-0.38770068895376564,0.14986006362031373,0.20725388601036268
raw_eq_6_12,raw_then_sign,0.6091093957003281,0.6050580361602442,0.08247069196771495,-0.3972842351834862,0.150074221087592,0.13471502590673576
sign_eq_3_6_12,sign_equal,0.6057507797187716,0.5924515769983287,0.06981206461010081,-0.32638404314296443,0.12804023240021914,0.22797927461139897
raw_w_slow,raw_then_sign,0.5921443052060311,0.58717788426316,0.07964380202858168,-0.3972842351834861,0.150216748962771,0.14507772020725387
sign_eq_3_12,sign_equal,0.590617664928264,0.5752242369346071,0.06774998738895799,-0.2747907340764357,0.12864452469070636,0.25129533678756477
maj_3_6_12,majority,0.5710727158073233,0.5606164748644503,0.07544827031131507,-0.397284235183486,0.1503929525527816,0.21243523316062177
maj_3_6_12_min2,majority,0.5777075693526693,0.5556420720170747,0.06269938028288902,-0.292113282123583,0.12339041207167327,0.23115577889447236
sign_eq_3_6_12_thr_0.5,sign_equal,0.5777075693526693,0.5556420720170747,0.06269938028288902,-0.292113282123583,0.12339041207167327,0.23115577889447236
maj_1_3_6_12,majority,0.5738037962057462,0.5534096896119195,0.06848060084236973,-0.31734172977388153,0.1370303308955976,0.31088082901554404
sign_eq_1_3_6_12,sign_equal,0.5745542173646169,0.5452090641490397,0.05598177799931814,-0.28165015430371754,0.11151672332973761,0.35751295336787564
raw_eq_3_6_12,raw_then_sign,0.5493732687761079,0.543342265325407,0.0727419319265874,-0.44774594837382864,0.15057263886001113,0.15544041450777202
sign_eq_thr_0.5,sign_equal,0.56563584365218,0.5276735757642859,0.05327580612927818,-0.28165015430371787,0.11002502177234234,0.3492462311557789
single_6m,single,0.549089126347148,0.5240004526589962,0.06934021244457966,-0.5049162224083261,0.14975436604538903,0.2193877551020408
sign_eq_3_6,sign_equal,0.4847395789195476,0.4502372853162356,0.05264170685870817,-0.3258405424239017,0.1342122511785697,0.29591836734693877
maj_1_3_6_12_min3,majority,0.4869688123991529,0.4407972910743548,0.04015968697507666,-0.24741823770546834,0.10098649905743391,0.39195979899497485
sign_eq_thr_0.75,sign_equal,0.483288870847521,0.43686716377718343,0.039649488159672064,-0.24741823770546822,0.10070701190010582,0.39321608040201006
sign_w_fast,sign_weighted,0.44754983362848433,0.404311011418553,0.03962639876304119,-0.27257716523415565,0.11167764042730777,0.48549222797927455
sign_eq_1_3_6,sign_equal,0.4415842390617702,0.39058435961662535,0.03887815438890985,-0.26650048390908976,0.11464615859259843,0.4574829931972789
single_3m,single,0.3217374182190841,0.2838782758610582,0.031828398660693535,-0.5587220884458749,0.150423270113328,0.41012658227848103
single_1m,single,0.13601365225350873,0.062339520238021695,-0.001972128403391671,-0.5277101398087453,0.15045021504992584,0.8664987405541562
